depo_kod;urun_kod;stok
9001;1025458;8
9001;1025459;671
9001;1025460;485
9001;1025461;672
9001;1025462;492
9001;1025538;1
9001;1025569;288
9001;1025572;288
9001;1025577;13
9001;1025593;288
9001;1025595;5
9001;1025608;36
9001;1025637;575
9001;1025640;78
9001;1025656;258
9001;1025657;444
9001;1025658;220
9001;1025659;494
9001;1025660;2
9001;1025661;89
9001;1025662;103
9001;1025664;144
9001;1025666;245
9001;1025702;70
9001;1025703;19
9001;1025705;199
9001;1025714;1
9001;1025721;3
9001;1025725;6
9001;1025768;512
9001;1025785;14
9001;1025861;10
9001;1025864;1503
9001;1025868;54
9001;1025869;53
9001;1025870;31
9001;1025871;73
9001;1025905;84
9001;1025906;93
9001;1025908;187
9001;1025909;215
9001;1025910;331
9001;1025911;536
9001;1025924;3
9001;1025925;1
9001;1025928;4
9001;1025941;1190
9001;1025970;112
9001;1025971;126
9001;1025973;785
9001;1025974;65
9001;1026000;234
9001;1026002;13
9001;1026033;629
9001;1026034;1586
9001;1026035;192
9001;1026036;254
9001;1026037;202
9001;1026038;1419
9001;1026039;172
9001;1026040;113
9001;1026042;2953
9001;1026043;245
9001;1026044;72
9001;1026047;113
9001;1026048;250
9001;1026050;661
9001;1026051;273
9001;1026052;254
9001;1026054;158
9001;1026059;388
9001;1026060;240
9001;1026067;72
9001;1026068;364
9001;1026070;708
9001;1026072;1204
9001;1026074;287
9001;1026076;130
9001;1026083;264
9001;1026084;252
9001;1026085;120
9001;1026086;33
9001;1026096;14
9001;1026100;1
9001;1026114;85
9001;1026115;80
9001;1026116;88
9001;1026120;159
9001;1026126;150
9001;1026127;277
9001;1026129;42
9001;1026143;2
9001;1026171;2
9001;1026172;13
9001;1026248;31
9001;1026249;14
9001;1026251;39
9001;1026252;30
9001;1026300;583
9001;1026301;430
9001;1026303;515
9001;1026304;411
9001;1026305;708
9001;1026306;1598
9001;1026307;431
9001;1026382;95
9001;1026383;24
9001;1026390;15
9001;1026397;2008
9001;1026398;466
9001;1026399;598
9001;1026400;493
9001;1026406;288
9001;1026408;288
9001;1026410;576
9001;1026414;677
9001;1026428;103
9001;1026432;1
9001;1026453;33
9001;1026481;288
9001;1026482;192
9001;1026488;14
9001;1026495;640
9001;1026503;51
9001;1026546;61
9001;1026547;2213
9001;1026564;1
9001;1026569;1
9001;1026571;3
9001;1026577;12
9001;1026578;15
9001;1026579;8
9001;1026581;119
9001;1026584;612
9001;1026605;246
9001;1026610;4
9001;1026611;3
9001;1026626;240
9001;1026632;1
9001;1026633;288
9001;1026659;223
9001;1026665;96
9001;1026666;361
9001;1026667;214
9001;1026699;129
9001;1026730;6
9001;1026731;568
9001;1026732;99
9001;1026734;552
9001;1026735;282
9001;1026738;3687
9001;1026751;150
9001;1026758;43
9001;1026759;82
9001;1026760;26
9001;1026761;1
9001;1026798;2354
9001;1026800;2789
9001;1026801;2319
9001;1026802;1717
9001;1026803;674
9001;1026804;1033
9001;1026805;1891
9001;1026808;4
9001;1026811;109
9001;1026812;299
9001;1026830;113
9001;1026875;55
9001;1026876;257
9001;1026921;891
9001;1026925;288
9001;1026926;25
9001;1026927;719
9001;1026950;187
9001;1026952;195
9001;1026953;73
9001;1026954;32
9001;1026955;159
9001;1026956;200
9001;1027022;57
9001;1027048;25
9001;1027050;186
9001;1027068;1
9001;1027079;64
9001;1027083;110
9001;1027106;117
9001;1027107;69
9001;1027109;62
9001;1027110;59
9001;1027147;365
9001;1027157;1345
9001;1027159;1486
9001;1027160;1581
9001;1027161;937
9001;1027162;265
9001;1027180;480
9001;1027181;288
9001;1027183;180
9001;1027190;19
9001;1027191;3
9001;1027198;21
9001;1027253;2519
9001;1027254;746
9001;1027255;63
9001;1027256;22
9001;1027257;18
9001;1027258;605
9001;1027259;108
9001;1027296;105
9001;1027300;312
9001;1027301;95
9001;1027303;360
9001;1027316;17
9001;1027317;1
9001;1027318;383
9001;1027321;96
9001;1027325;1190
9001;1027326;100
9001;1027366;289
9001;1027367;604
9001;1027371;723
9001;1027373;26
9001;1027376;127
9001;1027377;969
9001;1027380;2131
9001;1027393;6
9001;1027431;13
9001;1027463;8859
9001;1027464;8612
9001;1027475;3239
9001;1027486;96
9001;1027536;201
9001;1027547;204
9001;1027548;197
9001;1027633;1
9001;1027635;267
9001;1027640;137
9001;1027675;73
9001;1027677;275
9001;1027679;276
9001;1027680;508
9001;1027685;1
9001;1027686;114
9001;1027687;35
9001;1027689;3
9001;1027729;122
9001;1027731;209
9001;1027787;4
9001;1027789;1
9001;1027790;4
9001;1027793;2
9001;1027798;4
9001;1027800;3
9001;1027808;180
9001;1027809;1
9001;1027821;1
9001;1027822;3
9001;1027823;241
9001;1027825;180
9001;1027827;24
9001;1027898;47
9001;1027914;341
9001;1027922;27
9001;1027923;1
9001;1027932;5
9001;1027934;5
9001;1027947;119
9001;1027948;159
9001;1027952;760
9001;1027954;429
9001;1027973;5
9001;1027976;944
9001;1027977;737
9001;1027980;94
9001;1027981;107
9001;1027983;472
9001;1027986;12
9001;1027994;69
9001;1028026;2065
9001;1028060;1
9001;1028062;18
9001;1028063;21
9001;1028064;998
9001;1028068;1324
9001;1028073;960
9001;1028074;1536
9001;1028076;623
9001;1028077;384
9001;1028079;720
9001;1028080;1
9001;1028086;1802
9001;1028105;165
9001;1028109;18
9001;1028110;249
9001;1028111;162
9001;1028117;15
9001;1028124;332
